1	Ok	ok	AV0	ADV	[1, 3)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
2	can	can	VM0	VERB	[3, 6)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
3	I	i	PNP	PRON	[6, 7)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
4	draw	draw	VVI	VERB	[7, 11)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
5	to	to	PRP	PREP	[11, 13)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
6	some	some	DT0	ADJ	[13, 17)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
7	sorry	sorry	AJ0	ADJ	[17, 22)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
8	.		PUN		[22, 23)	9e73398e-2dfb-45e5-bedb-97e4f8ac2191
9	I	i	PNP	PRON	[23, 24)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
10	take	take	VVB	VERB	[24, 28)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
11	it	it	PNP	PRON	[28, 30)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
12	as	as	PRP	PREP	[30, 32)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
13	a	a	AT0	ART	[32, 33)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
14	last	last	ORD	ADJ	[33, 37)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
15	question	question	NN1	SUBST	[37, 45)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
16	,		PUN		[45, 46)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
17	comment	comment	VVB-NN1	VERB	[46, 53)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
18	.		PUN		[53, 54)	37af9237-0570-4b5c-b0f8-0dcb67fb64e4
19	Angela	angela	NP0	SUBST	[54, 60)	5baf1494-4a57-466f-89aa-0ed284b50049
20	I	i	PNP	PRON	[60, 61)	5baf1494-4a57-466f-89aa-0ed284b50049
21	'd	would	VM0	VERB	[61, 63)	5baf1494-4a57-466f-89aa-0ed284b50049
22	like	like	VVI	VERB	[63, 67)	5baf1494-4a57-466f-89aa-0ed284b50049
23	,		PUN		[67, 68)	5baf1494-4a57-466f-89aa-0ed284b50049
24	I	i	PNP	PRON	[68, 69)	5baf1494-4a57-466f-89aa-0ed284b50049
25	'd	would	VM0	VERB	[69, 71)	5baf1494-4a57-466f-89aa-0ed284b50049
26	just	just	AV0	ADV	[71, 75)	5baf1494-4a57-466f-89aa-0ed284b50049
27	like	like	VVI	VERB	[75, 79)	5baf1494-4a57-466f-89aa-0ed284b50049
28	to	to	TO0	PREP	[79, 81)	5baf1494-4a57-466f-89aa-0ed284b50049
29	ask	ask	VVI	VERB	[81, 84)	5baf1494-4a57-466f-89aa-0ed284b50049
30	if	if	CJS	CONJ	[84, 86)	5baf1494-4a57-466f-89aa-0ed284b50049
31	we	we	PNP	PRON	[86, 88)	5baf1494-4a57-466f-89aa-0ed284b50049
32	could	could	VM0	VERB	[88, 93)	5baf1494-4a57-466f-89aa-0ed284b50049
33	have	have	VHI	VERB	[93, 97)	5baf1494-4a57-466f-89aa-0ed284b50049
34	a	a	AT0	ART	[97, 98)	5baf1494-4a57-466f-89aa-0ed284b50049
35	meeting	meeting	NN1	SUBST	[98, 105)	5baf1494-4a57-466f-89aa-0ed284b50049
36	about	about	PRP	PREP	[105, 110)	5baf1494-4a57-466f-89aa-0ed284b50049
37	the	the	AT0	ART	[110, 113)	5baf1494-4a57-466f-89aa-0ed284b50049
38	future	future	NN1	SUBST	[113, 119)	5baf1494-4a57-466f-89aa-0ed284b50049
39	of	of	PRF	PREP	[119, 121)	5baf1494-4a57-466f-89aa-0ed284b50049
40	the	the	AT0	ART	[121, 124)	5baf1494-4a57-466f-89aa-0ed284b50049
41	gallery	gallery	NN1	SUBST	[124, 131)	5baf1494-4a57-466f-89aa-0ed284b50049
42	.		PUN		[131, 132)	5baf1494-4a57-466f-89aa-0ed284b50049
43	Yes	yes	ITJ	INTERJ	[132, 135)	cfc26a10-565c-4907-9877-07fd89e70621
44	.		PUN		[135, 136)	cfc26a10-565c-4907-9877-07fd89e70621
45	And	and	CJC	CONJ	[136, 139)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
46	I	i	PNP	PRON	[139, 140)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
47	'd	would	VM0	VERB	[140, 142)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
48	like	like	VVI	VERB	[142, 146)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
49	art	art	NN1	SUBST	[146, 149)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
50	teacher	teacher	NN1	SUBST	[149, 156)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
51	's	be	VBZ	VERB	[156, 158)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
52	in	in	PRP	PREP	[158, 160)	2fe0ff22-7c92-4e58-b7db-4b4ade7c215d
